Rounds,Client_1,Client_2,Client_3,Client_4,Client_5,Client_6,Client_7,Client_8,Client_9,Client_10
1,0.7576007682155091,0.7834257288598376,0.7475676494773553,0.7626719506689992,0.7715827538962726,0.7665170468350386,0.7513532401346789,0.7419369333334257,0.9305263233488777,0.989718522854165
2,0.5599419324256325,0.5738839746546155,0.5765092123784488,0.5741260711340817,0.5590462609847648,0.5743414933654706,0.5882324811489222,0.5959572615259682,1.0216258019177926,0.8889474661736425
3,0.4529049417341179,0.45451203496173087,0.4301129310756727,0.4281490344691829,0.44479454557880627,0.41910265073018566,0.43206134586041905,0.44343974281116383,0.8419264672777731,1.0166534056136005
4,0.32494009984072963,0.34255803447302907,0.3023477841624918,0.30598969683648775,0.34630609608259266,0.32709187017088626,0.32955345431727173,0.3397979683538203,0.6782494285994103,0.8994492918340452
5,0.24339404328834996,0.22471768771092404,0.2596655208134861,0.24719138075241107,0.2240731488825033,0.26232465584754444,0.26467666885035906,0.22634263837780058,0.877485243486376,0.8075949192250615
6,0.1681179396877915,0.2104694704523928,0.21066163573423255,0.20605821122168744,0.20633012978068604,0.16927966721184637,0.1685641024869307,0.17299477732984445,,
7,0.15576909921209192,0.137370999829989,0.15354397980450799,0.14803763108401422,0.13319684971419768,0.14566886129572215,0.14200756834725628,0.13469136571877857,,
8,0.1186385414740101,0.099626037934677,0.10764378862082162,0.09435094259549068,0.10068358398575886,0.09542075347054597,0.09974929387761801,0.13770415307740286,,
9,0.06757874761309215,0.10945121532263738,0.10638768040787136,0.10976739247890495,0.08369083128492841,0.10566374149835847,0.10211766336039511,0.07705674495781412,,
10,0.05438406477795941,0.066775679616819,0.07960281417081363,0.07455210138652939,0.059830807832032214,0.0926014473242816,0.08674508281755887,0.09051092586496975,,
